id,key,value,type
31551114,is_in,Nevada,regular
31551114,continent,North America,is_in
31551114,country,USA,is_in
31551114,name,Las Vegas,regular
31551114,ar,لاس فيغاس,name
31551114,bn,লাস ভেগাস,name
31551114,fa,لاس وگاس,name
31551114,he,לאס וגאס,name
31551114,hy,Լաս Վեգաս,name
31551114,ja,ラスベガス,name
31551114,ka,ლას-ვეგასი,name
31551114,ko,라스베이거스,name
31551114,ml,ലാസ് വെഗാസ്,name
31551114,mr,लास व्हेगास,name
31551114,nv,Na'azhoosh hatsoh,name
31551114,ru,Лас-Вегас,name
31551114,sr,Лас Вегас,name
31551114,ta,லாஸ் வேகஸ்,name
31551114,te,లాస్ వెగాస్,name
31551114,ur,لاس ویگاس,name
31551114,yi,לאס וועגאס,name
31551114,zh,拉斯维加斯,name
31551114,place,city,regular
31551114,population,567641,regular
31551114,wikidata,Q23768,regular
31551289,ref,13,regular
31551289,highway,motorway_junction,regular
31552217,name,Jean,regular
31552217,place,village,regular
137032473,highway,turning_circle,regular
137032494,source,Yahoo,regular
137032494,highway,turning_circle,regular
137032568,highway,turning_circle,regular
137032653,highway,turning_circle,regular
137032733,highway,turning_circle,regular
137032990,highway,turning_circle,regular
137033023,highway,turning_circle,regular
137033290,highway,traffic_signals,regular
137035663,highway,turning_circle,regular
137035692,highway,turning_circle,regular
137035697,highway,turning_circle,regular
137037152,power,tower,regular
137037155,power,tower,regular
137037158,power,tower,regular
137040434,power,tower,regular
137040436,power,tower,regular
137040441,power,tower,regular
137040444,power,tower,regular
137040448,power,tower,regular
137040454,power,tower,regular
137040456,power,tower,regular
137040458,power,tower,regular
137040461,power,tower,regular
137040468,power,tower,regular
137040471,power,tower,regular
137040474,power,tower,regular
137040482,power,tower,regular
137040486,power,tower,regular
137040489,power,tower,regular
137040492,power,tower,regular
137040496,power,tower,regular
137040506,power,tower,regular
137040509,power,tower,regular
137040513,power,tower,regular
137040515,power,tower,regular
137040518,power,tower,regular
137040522,power,tower,regular
137040522,source,bing,regular
137040525,power,tower,regular
137040525,source,bing,regular
137040978,ref,21,regular
137040978,highway,motorway_junction,regular
137041088,ref,23,regular
137041088,highway,motorway_junction,regular
137041164,ref,12,regular
137041164,highway,motorway_junction,regular
137043006,highway,traffic_signals,regular
137043006,traffic_signals,signal,regular
137043163,ref,40,regular
137043163,exit_to,Sahara Avenue,regular
137043163,highway,motorway_junction,regular
137044328,ref,10,regular
137044328,highway,motorway_junction,regular
137044328,old_ref,8,regular
137044389,ref,85,regular
137044389,highway,motorway_junction,regular
137044502,ref,54,regular
137044502,exit_to,Speedway Boulevard;Hollywood Boulevard,regular
137044502,highway,motorway_junction,regular
137045226,power,tower,regular
137045229,power,tower,regular
137045231,power,tower,regular
137045233,power,tower,regular
137045253,power,tower,regular
137045256,power,tower,regular
137045259,power,tower,regular
137045261,power,tower,regular
137045699,highway,traffic_signals,regular
137046443,ref,12A,regular
137046443,highway,motorway_junction,regular
137046443,old_ref,10A,regular
137048122,power,tower,regular
137048124,power,tower,regular
137048127,power,tower,regular
137048132,power,tower,regular
137048135,power,tower,regular
137048152,power,pole,regular
137048156,power,tower,regular
137048157,power,tower,regular
137048159,power,tower,regular
137048657,highway,motorway_junction,regular
137048657,left,US-95 North;Reno,exit_to
137048657,right,Martin L King Boulevard,exit_to
137048728,ref,6,regular
137048728,highway,motorway_junction,regular
137048728,old_ref,4,regular
137048848,highway,motorway_junction,regular
137049397,power,pole,regular
137049397,source,Bing,regular
137049399,power,pole,regular
137049399,source,Bing,regular
137049402,power,pole,regular
137049402,source,Bing,regular
137049405,power,pole,regular
137049405,source,Bing,regular
137050726,ref,68,regular
